City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,gadzhiyevo,69.2551,33.3362,-16.07,96,100,3.27,RU,1705400928
1,sao joao da barra,-21.6403,-41.0511,27.05,87,3,5.1,BR,1705400877
2,ketchikan,55.3422,-131.6461,0.26,93,100,1.54,US,1705401153
3,tsubata,36.6667,136.7333,2.32,83,99,2.31,JP,1705401153
4,jayapura,-2.5333,140.7,24.66,93,100,1.19,ID,1705401153
5,midvagur,62.0511,-7.1939,-1.54,74,100,9.77,FO,1705401154
6,isiro,2.7739,27.616,34.19,16,44,1.66,CD,1705401154
7,maxixe,-23.8597,35.3472,32.9,62,40,6.69,MZ,1705401154
8,blackmans bay,-43.0167,147.3167,23.07,57,67,2.33,AU,1705400869
9,shimoda,34.6667,138.95,4.5,47,0,2.7,JP,1705401155
10,santyoku,37.4406,129.1708,3.25,42,60,3.33,KR,1705401155
11,iqaluit,63.7506,-68.5145,-4.15,86,100,5.14,CA,1705400869
12,quelimane,-17.8786,36.8883,33.97,59,75,1.54,MZ,1705401156
13,ushuaia,-54.8,-68.3,4.81,87,40,4.63,AR,1705400893
14,invercargill,-46.4,168.35,12.23,79,2,0.45,NZ,1705400880
15,puerto natales,-51.7236,-72.4875,7.25,70,100,0.0,CL,1705400872
16,ilulissat,69.2167,-51.1,-4.99,58,0,5.66,GL,1705400888
17,hyesan,41.4017,128.1778,-14.41,87,2,0.89,KP,1705401157
18,isafjordur,66.0755,-23.124,-5.98,73,100,15.95,IS,1705400885
19,aosta,45.7667,7.4167,1.66,55,45,1.03,IT,1705401157
20,tralee,52.2704,-9.7026,-3.86,93,0,0.51,IE,1705400869
21,renqiu,38.6989,116.0936,0.39,82,100,2.18,CN,1705401159
22,karachi,24.9056,67.0822,27.9,47,20,5.14,PK,1705401010
23,pisco,-13.7,-76.2167,21.03,88,0,4.63,PE,1705400909
24,thunder bay,48.4001,-89.3168,-21.01,65,100,4.63,CA,1705401159
25,ribeira grande,38.5167,-28.7,14.32,82,75,6.69,PT,1705400883
26,bethel,41.3712,-73.414,-3.78,82,100,2.57,US,1705401057
